     distance         timeN            Tn             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  5.435724653E+010   6.8901E-004   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  1.183174470E+011   1.4997E-003   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  1.822776475E+011   2.3105E-003   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.528230723E+011   3.2047E-003   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  8.718969684E+011   1.1052E-002   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.135810101E+012   2.7072E-002   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  8.140915764E+012   1.0319E-001   1.0000E+001   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  3.361321611E+013   4.2606E-001   9.9999E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  1.232722470E+014   1.5625E+000   9.9998E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  6.900748874E+014   8.7471E+000   9.9986E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
